,year,selling_price,km_driven,StateorProvince,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,Region,brand
4418,2010,235000,100000,Iowa,Marshalltown,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,7,N,Central,TATA
4419,2016,700000,50000,Iowa,Marshalltown,Diesel,Individual,Manual,First Owner,18.49,1493,100,7,N,Central,MAHINDRA
4420,2018,975000,5000,Iowa,Newton,Diesel,Individual,Manual,First Owner,25.1,1248,88.5,5,N,Central,MARUTI
4421,2017,495000,56000,Iowa,Newton,Diesel,Individual,Manual,First Owner,25.83,1498,99,5,N,Central,FORD
4422,2013,830000,215000,Iowa,Newton,Diesel,Individual,Manual,First Owner,12.99,2494,100,7,N,Central,TOYOTA
4423,2012,800000,40000,Iowa,Newton,Diesel,Individual,Manual,First Owner,15.1,2179,140,7,N,Central,MAHINDRA
4424,2017,950000,24000,Iowa,Newton,Diesel,Dealer,Manual,First Owner,21.9,1498,98.6,7,N,Central,HONDA
4425,2017,840000,30646,Iowa,Newton,Petrol,Dealer,Manual,First Owner,15.4,1497,117.3,7,N,Central,HONDA
4426,2006,65000,198000,Iowa,Dubuque,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5,N,Central,MARUTI
4427,2015,425000,60000,Iowa,Dubuque,Diesel,Individual,Manual,First Owner,24.4,1120,71,5,N,Central,HYUNDAI
4428,2012,476999,90000,Iowa,Dubuque,Diesel,Individual,Manual,Fourth & Above Owner,21.43,1364,87.2,5,N,Central,TOYOTA
4429,2011,150000,40000,Iowa,Dubuque,Petrol,Individual,Manual,Second Owner,18,995,62,5,N,Central,CHEVROLET
4430,2011,225000,90000,Iowa,Dubuque,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,N,Central,MARUTI
4431,2015,610000,30000,Oregon,Albany,Petrol,Dealer,Manual,First Owner,18.7,1199,88.7,5,Y,West,HONDA
4432,2003,35000,35000,Oregon,Troutdale,Petrol,Individual,Manual,Second Owner,16.1,796,37,4,Y,West,MARUTI
4433,2012,1400000,50000,Oregon,Troutdale,Diesel,Individual,Automatic,First Owner,14.84,2143,170,5,Y,West,MERCEDES-BENZ
4434,2007,170000,78000,Oregon,Troutdale,Petrol,Individual,Manual,Second Owner,16.1,1298,88.2,5,Y,West,MARUTI
4435,2002,81000,161000,Oregon,Troutdale,Petrol,Individual,Manual,Fourth & Above Owner,13,1493,100,5,Y,West,HONDA
4436,2005,95000,70000,Oregon,Troutdale,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5,Y,West,MARUTI
4437,2012,300000,100000,Oregon,West Linn,Diesel,Individual,Manual,Third Owner,23.08,1461,63.12,5,Y,West,RENAULT
4438,2012,150000,110000,Oregon,West Linn,Diesel,Individual,Manual,First Owner,22.3,1248,74,5,Y,West,TATA
4439,2015,600000,90000,Oregon,West Linn,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,Y,West,FORD
4440,2017,625000,50000,Oregon,West Linn,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,5,Y,West,HYUNDAI
4441,2011,280000,200000,Oregon,West Linn,Diesel,Individual,Manual,First Owner,20.5,1248,91.7,5,Y,West,FIAT
4442,2018,1575000,30000,Oregon,Corvallis,Diesel,Individual,Manual,First Owner,17.6,2179,153.86,7,Y,West,TATA
4443,2015,600000,63000,Oregon,Corvallis,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,Y,West,FORD
4444,2016,720000,35000,Oregon,Bend,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,Y,West,MAHINDRA
4445,2012,158000,110000,Oregon,Corvallis,Diesel,Individual,Manual,Second Owner,19.09,1396,69,5,Y,West,TATA
4446,2018,1575000,25000,Oregon,Corvallis,Diesel,Individual,Manual,First Owner,17.6,2179,153.86,7,Y,West,TATA
4447,2018,950000,58511,Oregon,Aloha,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,Y,West,MARUTI
4448,2015,365000,105000,Oregon,Aloha,Diesel,Dealer,Manual,First Owner,25.83,1498,99,5,Y,West,FORD
4449,2018,900000,26235,Oregon,Aloha,Diesel,Dealer,Manual,First Owner,16.55,2498,105,6,Y,West,MAHINDRA
4450,2017,919999,26766,Oregon,Beaverton,Diesel,Dealer,Manual,First Owner,21.5,1497,108.5,5,Y,West,TATA
4451,2020,1900000,1600,Oregon,Aloha,Petrol,Dealer,Automatic,First Owner,13.96,1451,141,5,Y,West,MG
4452,2018,2950000,46000,Oregon,Aloha,Diesel,Dealer,Manual,First Owner,15.8,2148,170,5,Y,West,MERCEDES-BENZ
4453,2019,1075000,23000,Oregon,Beaverton,Diesel,Dealer,Manual,First Owner,17.3,1497,121,7,Y,West,MAHINDRA
4454,2017,600000,24522,Oregon,Albany,Petrol,Dealer,Manual,First Owner,20.4,1197,81.8,5,Y,West,MARUTI
4455,2017,3200000,13663,Oregon,Beaverton,Diesel,Dealer,Automatic,First Owner,22.69,1995,190,5,Y,West,BMW
4456,2019,2600000,11000,Oregon,Aloha,Diesel,Dealer,Automatic,First Owner,19.3,1968,141,5,Y,West,SKODA
4457,2016,839000,63000,Oregon,Albany,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,Y,West,MARUTI
4458,2019,635000,2000,Oregon,Beaverton,Petrol,Dealer,Manual,First Owner,16.2,1199,74,5,Y,West,VOLKSWAGEN
4459,2014,550000,300000,Oregon,Bend,Diesel,Individual,Manual,Third Owner,12.05,2179,120,8,Y,West,MAHINDRA
4460,2011,180000,190000,Oregon,Bend,Diesel,Individual,Manual,Third Owner,19.2,1461,65,5,Y,West,MAHINDRA
4461,2017,850000,110000,Oregon,Coos Bay,Diesel,Individual,Manual,First Owner,15.4,2523,75,7,N,West,MAHINDRA
4462,2007,90000,93000,Oregon,Coos Bay,Petrol,Individual,Manual,Third Owner,18,995,62,5,N,West,CHEVROLET
4463,2018,720000,20000,Oregon,Pendleton,Petrol,Individual,Manual,First Owner,22,1197,81.8,5,N,West,MARUTI
4464,2012,409999,100000,Oregon,Pendleton,Diesel,Individual,Manual,Second Owner,14,2498,112,8,N,West,MAHINDRA
4465,2010,110000,80000,Oregon,Pendleton,Petrol,Individual,Manual,Second Owner,0,1086,62.1,5,N,West,HYUNDAI
4466,2012,195000,163720,Oregon,Pendleton,Diesel,Dealer,Manual,First Owner,18.5,1399,68,5,N,West,FORD
4467,2012,265000,67998,Oregon,Pendleton,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,5,N,West,MARUTI
4468,2018,650000,20706,Oregon,Pendleton,Diesel,Dealer,Manual,First Owner,23.8,1499,98.63,5,N,West,FORD
4469,2008,200000,100000,Oregon,Woodburn,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5,N,West,MARUTI
4470,2013,250000,47000,Oregon,Woodburn,Diesel,Individual,Manual,First Owner,20.3,1248,75,5,N,West,FIAT
4471,2011,170000,175000,Oregon,Woodburn,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5,N,West,MARUTI
4472,2012,350000,110000,Oregon,Woodburn,Diesel,Individual,Manual,Third Owner,23,1396,90,5,N,West,HYUNDAI
4473,2011,210000,120000,Oregon,Woodburn,Diesel,Individual,Manual,First Owner,19.4,1405,70,5,N,West,TATA
4474,2010,200000,80000,Oregon,Woodburn,LPG,Individual,Manual,Second Owner,13.45,1086,62.1,5,N,West,HYUNDAI
4475,2011,1075000,42545,Oregon,Medford,Diesel,Dealer,Automatic,First Owner,19.62,1998,190,5,N,West,BMW
4476,2016,690000,32000,Oregon,Medford,Diesel,Dealer,Manual,First Owner,25.1,1248,88.5,5,N,West,MARUTI
4477,2017,589000,41232,Oregon,Oregon City,Diesel,Dealer,Manual,First Owner,26.59,1248,74,5,N,West,MARUTI
4478,2015,445000,40200,Oregon,Oregon City,Diesel,Dealer,Manual,First Owner,21,1498,74.96,7,N,West,MAHINDRA
4479,2013,475000,48000,Oregon,Oregon City,Diesel,Dealer,Manual,Second Owner,21.7,1498,98.96,5,N,West,FORD
4480,2014,465000,27233,Oregon,Oregon City,Diesel,Dealer,Manual,First Owner,27.4,1498,98.63,5,N,West,HONDA
4481,2011,225000,35000,Oregon,Oregon City,Petrol,Individual,Manual,First Owner,15,1368,90,5,N,West,TATA
4482,2005,310000,200000,Oregon,Oregon City,Diesel,Individual,Manual,Second Owner,12.8,2494,102,8,N,West,TOYOTA
4483,2016,445000,63000,Oregon,Oregon City,Diesel,Dealer,Manual,First Owner,15.3,2956,83.8,9,N,West,TATA
4484,2015,445000,62000,Oregon,Oregon City,Diesel,Dealer,Manual,First Owner,21,1498,74.96,7,N,West,MAHINDRA
4485,2012,450000,68240,Oregon,Portland,Diesel,Dealer,Manual,First Owner,13.93,2956,138.1,7,N,West,TATA
4486,2008,450000,78000,Oregon,Portland,Diesel,Dealer,Manual,First Owner,15.4,1997,120,7,N,West,MAHINDRA
4487,2018,700000,35000,Oregon,West Linn,Diesel,Individual,Manual,First Owner,24,1186,73.97,5,N,West,HYUNDAI
4488,2017,880000,50000,Oregon,Tualatin,Diesel,Individual,Manual,First Owner,19.6,1461,108.45,5,N,West,RENAULT
4489,2014,700000,121000,Oregon,West Linn,Diesel,Individual,Manual,Third Owner,12.99,2494,100.6,7,N,West,TOYOTA
4490,2015,550000,60000,Oregon,West Linn,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5,N,West,RENAULT
4491,2016,3200000,40000,Oregon,West Linn,Diesel,Individual,Automatic,First Owner,18.12,1995,190,5,N,West,BMW
4492,2017,645000,60000,Oregon,West Linn,Diesel,Individual,Manual,First Owner,18.49,1493,100,7,N,West,MAHINDRA
4493,2016,690000,32000,Oregon,Grants Pass,Diesel,Dealer,Manual,First Owner,25.1,1248,88.5,5,N,West,MARUTI
4494,2017,589000,41232,Oregon,Grants Pass,Diesel,Dealer,Manual,First Owner,26.59,1248,74,5,N,West,MARUTI
4495,2015,445000,40200,Oregon,Gresham,Diesel,Dealer,Manual,First Owner,21,1498,74.96,7,N,West,MAHINDRA
4496,2013,475000,48000,Oregon,Gresham,Diesel,Dealer,Manual,Second Owner,21.7,1498,98.96,5,N,West,FORD
4497,2014,465000,27233,Oregon,Grants Pass,Diesel,Dealer,Manual,First Owner,27.4,1498,98.63,5,N,West,HONDA
4498,2011,225000,35000,Oregon,Grants Pass,Petrol,Individual,Manual,First Owner,15,1368,90,5,N,West,TATA
4499,2005,310000,200000,Oregon,Grants Pass,Diesel,Individual,Manual,Second Owner,12.8,2494,102,8,N,West,TOYOTA
4500,2016,445000,63000,Oregon,Gresham,Diesel,Dealer,Manual,First Owner,15.3,2956,83.8,9,N,West,TATA
4501,2015,445000,62000,Oregon,Eugene,Diesel,Dealer,Manual,First Owner,21,1498,74.96,7,N,West,MAHINDRA
4502,2012,450000,68240,Oregon,Grants Pass,Diesel,Dealer,Manual,First Owner,13.93,2956,138.1,7,N,West,TATA
4503,2008,450000,78000,Oregon,Gresham,Diesel,Dealer,Manual,First Owner,15.4,1997,120,7,N,West,MAHINDRA
4504,2015,520000,70000,Oregon,Redmond,Diesel,Individual,Manual,First Owner,26.59,1248,74,5,N,West,MARUTI
4505,2011,265000,60000,Oregon,Redmond,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,N,West,MARUTI
4506,2016,395000,40000,Oregon,Redmond,Petrol,Individual,Manual,Second Owner,16.2,1199,74,5,N,West,VOLKSWAGEN
4507,2016,385000,40000,Oregon,Redmond,Petrol,Individual,Manual,Second Owner,16.2,1199,74,5,N,West,VOLKSWAGEN
4508,2009,142000,70000,Oregon,Portland,Petrol,Individual,Manual,Second Owner,18.9,1061,67,5,N,West,MARUTI
4509,2009,160000,35000,Oregon,Portland,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5,N,West,HYUNDAI
4510,2012,180000,50000,Oregon,Portland,Diesel,Individual,Manual,Third Owner,19.09,1396,69,5,N,West,TATA
4511,2013,480000,42462,Oregon,Redmond,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5,N,West,HONDA
4512,2015,470000,54723,Oregon,Portland,Diesel,Dealer,Manual,First Owner,25.2,1248,74,5,N,West,MARUTI
4513,2015,625000,90000,Oregon,Corvallis,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5,N,West,HYUNDAI
4514,2012,220000,110000,Oregon,Corvallis,Diesel,Individual,Manual,First Owner,20,1399,68,5,N,West,FORD
4515,2013,250000,110000,Oregon,Eugene,Diesel,Individual,Manual,First Owner,20,1399,68.1,5,N,West,FORD
4516,2018,575000,70000,Oregon,Eugene,Diesel,Individual,Manual,First Owner,20.65,1248,88.7,5,N,West,TATA
4517,2015,1050000,65000,Oregon,Eugene,Diesel,Individual,Manual,First Owner,15.1,2179,140,7,N,West,MAHINDRA
4518,2015,3000000,70000,Oregon,Eugene,Diesel,Individual,Automatic,Second Owner,16.36,2179,187.7,5,N,West,JAGUAR
4519,2012,200000,90000,Oregon,Eugene,Diesel,Individual,Manual,Third Owner,11.57,2179,138.1,7,N,West,TATA
4520,2016,262000,50000,Oregon,Eugene,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,N,West,MARUTI
4521,2017,330000,60000,Oregon,Lake Oswego,Petrol,Individual,Manual,First Owner,20.63,1198,67,5,N,West,DATSUN
4522,2019,990000,15000,Oregon,Lake Oswego,Petrol,Individual,Manual,First Owner,17,1591,121.3,5,N,West,HYUNDAI
4523,2012,300000,90000,Oregon,Lake Oswego,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5,N,West,TOYOTA
4524,2018,650000,28000,Oregon,Mcminnville,Petrol,Individual,Manual,First Owner,17,1198,108.5,5,N,West,TATA
4525,2019,695000,20000,Oregon,Mcminnville,Petrol,Individual,Automatic,First Owner,17.4,1197,81.86,5,N,West,HYUNDAI
4526,2014,300000,60000,Oregon,Mcminnville,Diesel,Individual,Manual,First Owner,24,1120,70,5,N,West,HYUNDAI
4527,2015,270000,22000,Oregon,Medford,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,N,West,MARUTI
4528,2010,185000,70000,Oregon,Mcminnville,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7,N,West,TATA
4529,2013,200000,80000,Oregon,Mcminnville,Diesel,Individual,Manual,First Owner,22.1,1248,76.9,5,N,West,CHEVROLET
4530,2019,459999,35000,Oregon,Lake Oswego,CNG,Individual,Manual,First Owner,26.6,998,58.16,5,N,West,MARUTI
4531,2011,155000,80000,Oregon,Coos Bay,Diesel,Individual,Manual,Third Owner,20,1399,68,5,N,West,FORD
4532,2012,200000,120000,Oregon,Albany,Diesel,Individual,Manual,First Owner,23.03,1396,69,5,N,West,TATA
4533,2009,120000,140000,Oregon,West Linn,Petrol,Individual,Manual,Third Owner,19,998,66.1,5,N,West,MARUTI
4534,2015,620000,33000,Oregon,West Linn,Diesel,Individual,Manual,First Owner,20.14,1498,88.8,5,N,West,VOLKSWAGEN
4535,2015,730000,70000,Oregon,West Linn,Diesel,Individual,Manual,First Owner,26.21,1248,88.5,5,N,West,MARUTI
4536,2013,225000,58343,Oregon,Keizer,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998,67.05,5,N,West,MARUTI
4537,2018,740000,38817,Oregon,Keizer,Diesel,Dealer,Manual,First Owner,27.39,1248,74,5,N,West,MARUTI
4538,2016,550000,56494,Oregon,Keizer,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5,N,West,HONDA
4539,2013,750000,79328,Oregon,Keizer,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,7,N,West,TOYOTA
4540,2019,650000,5621,Oregon,Keizer,Petrol,Trustmark Dealer,Automatic,First Owner,22,1197,81.8,5,N,West,MARUTI
4541,2017,625000,25538,Oregon,Keizer,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5,N,West,TOYOTA
4542,2018,600000,69779,Oregon,Lake Oswego,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5,N,West,MARUTI
4543,2017,450000,56290,Oregon,Lake Oswego,Diesel,Dealer,Manual,First Owner,24,1186,73.97,5,N,West,HYUNDAI
4544,2019,5400000,7500,Oregon,Lake Oswego,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5,N,West,BMW
4545,2011,450000,50000,Oregon,Klamath Falls,Petrol,Individual,Manual,First Owner,17,1497,118,5,N,West,HONDA
4546,2019,466000,25000,Oregon,Klamath Falls,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086,68,5,N,West,HYUNDAI
4547,2015,580000,52000,Oregon,Klamath Falls,Diesel,Individual,Manual,First Owner,25.83,1498,99,5,N,West,FORD
4548,2019,430000,18500,Oregon,Klamath Falls,Petrol,Individual,Manual,First Owner,20.3,1086,68,5,N,West,HYUNDAI
4549,2012,155000,50000,Oregon,Klamath Falls,Diesel,Individual,Manual,First Owner,23.03,1396,69,5,N,West,TATA
4550,2017,240000,35000,Oregon,Klamath Falls,Petrol,Individual,Manual,First Owner,22.5,999,67,5,N,West,DATSUN
4551,2013,250000,120000,Oregon,Klamath Falls,Diesel,Individual,Manual,First Owner,19.09,1396,69,5,N,West,TATA
4552,2017,550000,15000,Oregon,Tualatin,Diesel,Individual,Manual,First Owner,25.83,1498,99,5,N,West,FORD
4553,2011,370000,110000,Oregon,Tigard,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7,N,West,MAHINDRA
4554,2008,250000,100000,Oregon,Tigard,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5,N,West,HYUNDAI
4555,2005,125000,70000,Oregon,Tigard,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,N,West,MARUTI
4556,2010,200000,110000,Oregon,Tigard,Diesel,Individual,Manual,First Owner,17,1405,71,5,N,West,TATA
4557,2017,675000,127991,Oregon,Tualatin,Diesel,Dealer,Manual,First Owner,25.5,1498,98.6,5,N,West,HONDA
4558,1999,150000,198000,Oregon,Tigard,Diesel,Individual,Manual,Second Owner,14.8,1998,68,5,N,West,MITSUBISHI
4559,2010,290000,65000,Oregon,Tigard,Petrol,Individual,Manual,First Owner,15.64,1193,64.1,5,N,West,TATA
4560,2016,2000000,68089,New Mexico,Santa Fe,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5,Y,West,TOYOTA
4561,2017,625000,25538,New Mexico,Santa Fe,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5,Y,West,TOYOTA
4562,2019,779000,7032,New Mexico,Santa Fe,Petrol,Trustmark Dealer,Automatic,First Owner,19,1199,88.76,5,Y,West,HONDA
4563,2018,600000,69779,New Mexico,Albuquerque,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5,N,West,MARUTI
4564,2017,450000,56290,New Mexico,Albuquerque,Diesel,Dealer,Manual,First Owner,24,1186,73.97,5,N,West,HYUNDAI
4565,2014,325000,52442,New Mexico,Albuquerque,Petrol,Trustmark Dealer,Manual,Second Owner,18.5,1198,86.8,5,N,West,HONDA
4566,2013,229999,39000,New Mexico,Albuquerque,Petrol,Dealer,Manual,First Owner,20.36,1197,78.9,5,N,West,HYUNDAI
4567,2007,400000,42000,New Mexico,Carlsbad,Petrol,Dealer,Automatic,First Owner,11.74,1796,186,5,N,West,MERCEDES-BENZ
4568,2015,449000,34156,New Mexico,Carlsbad,Petrol,Dealer,Manual,First Owner,16.47,1198,74,5,N,West,VOLKSWAGEN
4569,2017,455000,34152,New Mexico,Carlsbad,Petrol,Dealer,Manual,First Owner,18.9,1197,81.86,5,N,West,HYUNDAI
4570,2015,1750000,37000,New Mexico,Albuquerque,Diesel,Dealer,Automatic,First Owner,18.25,1968,187.74,5,N,West,AUDI
4571,2017,1390000,98000,New Mexico,Carlsbad,Diesel,Dealer,Automatic,First Owner,11.36,2755,171.5,7,N,West,TOYOTA
4572,2019,1150000,31000,New Mexico,Carlsbad,Petrol,Dealer,Manual,First Owner,15.8,1591,121.3,5,N,West,HYUNDAI
4573,2018,650000,62841,New Mexico,Carlsbad,Petrol,Trustmark Dealer,Manual,First Owner,18.6,1197,81.83,5,N,West,HYUNDAI
4574,2016,270000,82000,New Mexico,Roswell,Petrol,Individual,Manual,Third Owner,18.5,1197,85.8,5,N,West,MARUTI
4575,2012,459999,87000,New Mexico,Roswell,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,N,West,MARUTI
4576,2010,130000,120000,New Mexico,Roswell,Diesel,Individual,Manual,First Owner,17,1405,70,5,N,West,TATA
4577,2011,190000,90000,New Mexico,Roswell,Diesel,Dealer,Manual,First Owner,18.8,1248,90,5,N,West,TATA
4578,2014,501000,68000,New Mexico,Roswell,Diesel,Dealer,Manual,First Owner,22.9,1248,74,5,N,West,MARUTI
4579,2015,450000,85000,New Mexico,Roswell,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,5,N,West,HONDA
4580,2019,711000,5000,New Mexico,Albuquerque,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,N,West,MARUTI
4581,2016,285000,75000,New Mexico,Albuquerque,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5,N,West,MARUTI
4582,2020,749000,5500,New Mexico,Albuquerque,Petrol,Individual,Manual,First Owner,21.01,1197,81.8,5,N,West,MARUTI
4583,2010,300000,120000,New Mexico,Albuquerque,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,N,West,MARUTI
4584,2017,650000,80000,New Mexico,Albuquerque,Petrol,Individual,Manual,Second Owner,17.19,1197,81.86,5,N,West,HYUNDAI
4585,2010,220000,80000,New Mexico,Albuquerque,Diesel,Individual,Manual,Second Owner,16.2,1493,110,5,N,West,HYUNDAI
4586,2017,600000,40000,New Mexico,Albuquerque,Petrol,Individual,Manual,Second Owner,20.3,1199,84,5,N,West,TATA
4587,2012,390000,120000,New Mexico,Albuquerque,Diesel,Individual,Manual,First Owner,23.5,1498,88.7,5,N,West,FORD
4588,2010,340000,110000,New Mexico,Albuquerque,Diesel,Individual,Manual,First Owner,23,1396,90,5,N,West,HYUNDAI
4589,2014,530000,80000,New Mexico,Albuquerque,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5,N,West,MARUTI
4590,2015,350000,38000,New Mexico,Albuquerque,Petrol,Individual,Automatic,Second Owner,23.95,998,67.05,5,N,West,MARUTI
4591,2012,380000,70000,New Mexico,Las Cruces,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5,N,West,MARUTI
4592,2017,600000,29000,New Mexico,Roswell,Diesel,Individual,Manual,First Owner,22,1498,108.495,5,N,West,VOLKSWAGEN
4593,2014,620000,40000,New Mexico,Rio Rancho,Diesel,Individual,Manual,Second Owner,13.1,2499,141,7,N,West,FORD
4594,2012,500000,90000,New Mexico,Roswell,Diesel,Individual,Automatic,First Owner,19.08,1582,126.32,5,N,West,HYUNDAI
4595,2015,700000,40000,New Mexico,Las Cruces,Diesel,Individual,Automatic,First Owner,18.49,1493,100,7,N,West,MAHINDRA
4596,2015,550000,138000,New Mexico,Rio Rancho,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,N,West,FORD
4597,2016,600000,70000,New Mexico,Rio Rancho,Diesel,Individual,Manual,First Owner,25.2,1248,74,5,N,West,MARUTI
4598,2019,550000,30000,New Mexico,Las Cruces,Petrol,Individual,Manual,Second Owner,19.44,999,75,5,N,West,VOLKSWAGEN
4599,2013,475000,125000,New Mexico,Santa Fe,Diesel,Individual,Manual,Third Owner,22.32,1582,126.3,5,N,West,HYUNDAI
4600,2015,615000,120000,New Mexico,Roswell,Diesel,Individual,Manual,Second Owner,26,1498,98.6,5,N,West,HONDA
4601,2013,385000,180000,New Mexico,Las Cruces,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5,N,West,MARUTI
4602,2015,500000,20000,New Mexico,Roswell,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,N,West,TATA
4603,2012,450000,80000,New Mexico,Hobbs,Diesel,Individual,Manual,First Owner,19.87,1461,83.8,5,N,West,RENAULT
4604,2010,200000,35000,New Mexico,Alamogordo,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,5,N,West,MARUTI
4605,2018,611000,9000,New Mexico,Alamogordo,Petrol,Dealer,Manual,First Owner,19.1,1197,85.8,5,N,West,MARUTI
4606,2016,819999,39000,New Mexico,Albuquerque,Diesel,Dealer,Manual,First Owner,19.67,1582,126.2,5,N,West,HYUNDAI
4607,2016,825000,39000,New Mexico,Alamogordo,Diesel,Dealer,Manual,First Owner,21.38,1396,88.7,5,N,West,HYUNDAI
4608,2018,375000,50000,New Mexico,Hobbs,CNG,Individual,Manual,First Owner,21.94,1196,61.7,5,N,West,MARUTI
4609,2016,600000,13500,New Mexico,Clovis,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7,N,West,MARUTI
4610,2008,700000,260000,New Mexico,Clovis,Diesel,Individual,Manual,First Owner,12.8,2494,102,8,N,West,TOYOTA
4611,2018,600000,65000,New Mexico,Farmington,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,5,N,West,HYUNDAI
4612,2014,630000,95000,New Mexico,Clovis,Diesel,Individual,Manual,Second Owner,14.02,2179,118.3,8,N,West,MAHINDRA
4613,2016,590000,40000,New Mexico,Hobbs,Petrol,Individual,Manual,Second Owner,20.73,1373,91.1,5,N,West,MARUTI
4614,2019,420000,30000,New Mexico,Clovis,Petrol,Individual,Manual,First Owner,20.3,1086,68,5,N,West,HYUNDAI
4615,2016,1950000,120000,New Mexico,Clovis,Diesel,Individual,Manual,First Owner,13.5,2477,175.56,7,N,West,MITSUBISHI
4616,2013,541000,112011,New Mexico,Clovis,Diesel,Individual,Manual,First Owner,13.93,2179,138.1,7,N,West,TATA
4617,2015,900000,125000,New Mexico,Clovis,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7,N,West,TOYOTA
4618,2015,900000,125000,New Mexico,Hobbs,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7,N,West,TOYOTA
4619,2009,250000,43000,New Mexico,Hobbs,Diesel,Individual,Manual,First Owner,18.8,1248,90,5,N,West,TATA
4620,2019,670000,53534,New Mexico,Farmington,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,N,West,MAHINDRA
4621,2019,530000,20000,New Mexico,Hobbs,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5,N,West,TATA
4622,2012,150000,70000,New Mexico,Hobbs,Diesel,Individual,Manual,Second Owner,25.44,936,57.6,5,N,West,CHEVROLET
4623,2013,550000,70000,New Mexico,Farmington,Diesel,Individual,Manual,Third Owner,15.1,2179,140,7,N,West,MAHINDRA
4624,2015,650000,150000,New Mexico,Farmington,Diesel,Individual,Manual,First Owner,15.4,1997,120,7,N,West,MAHINDRA
4625,2012,180000,100000,New Mexico,Hobbs,Diesel,Individual,Manual,Second Owner,19.4,1405,70,5,N,West,TATA
4626,2015,391000,55000,New Mexico,Roswell,Diesel,Dealer,Manual,First Owner,24.4,1120,71,5,N,West,HYUNDAI
4627,2011,360000,100000,New Mexico,Alamogordo,Diesel,Individual,Manual,Fourth & Above Owner,13.5,2179,115,5,N,West,MAHINDRA
4628,2015,409999,60000,New Mexico,Alamogordo,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5,N,West,HONDA
4629,2010,425000,200000,New Mexico,Alamogordo,Diesel,Individual,Manual,Second Owner,12.8,2494,102,7,N,West,TOYOTA
4630,2009,550000,250000,New Mexico,Alamogordo,Diesel,Individual,Manual,First Owner,12.8,2494,102,7,N,West,TOYOTA
4631,2017,3200000,45000,Maryland,Dundalk,Diesel,Dealer,Automatic,First Owner,19.33,1999,177,5,Y,East,JAGUAR
4632,2015,503000,110000,Maryland,Dundalk,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,Y,East,TATA
